cgid,is.inoshita.2015.dmp,is.pbmc.dmp,is.whole.blood.dmp,ttest.pvalue.pbmc,ttest.pvalue.whole.blood,dnam.direction.inoshita.2015.dmp,dnam.direction.pbmc.dmp,dnam.direction.whole.blood.dmp,relation.to.island,ucsc.gene.names,ucsc.gene.groups,ucsc.gene.acc
cg19185846,FALSE,TRUE,FALSE,7.43e-42,0,0,-0.055,0,N_Shelf,"","",""
cg24128066,FALSE,TRUE,FALSE,7.64e-42,0,0,-0.013,0,OpenSea,CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2,Body;Body;Body;Body;Body;TSS200;Body;Body;Body,NM_201571;NM_201593;NM_000724;NM_201597;NM_201572;NM_201570;NM_201590;NM_201596;NM_001167945
cg14091258,FALSE,TRUE,FALSE,8.01e-42,0,0,0.052,0,Island,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,NM_002847;NM_130842;NM_130843
cg16081457,FALSE,TRUE,TRUE,9.66e-42,1.36e-150,0,-0.054,-0.034,S_Shore,"","",""
cg04022137,FALSE,TRUE,FALSE,1.17e-41,0,0,-0.011,0,S_Shelf,"","",""
cg27446137,TRUE,TRUE,FALSE,1.38e-41,0,-0.06,-0.044,0,Island,"","",""
cg26697583,FALSE,TRUE,FALSE,1.58e-41,0,0,0.055,0,OpenSea,"","",""
cg11382417,FALSE,TRUE,FALSE,1.72e-41,0,0,-0.019,0,OpenSea,"","",""
cg05939552,FALSE,TRUE,FALSE,2.2e-41,0,0,-0.049,0,N_Shore,BRUNOL4;BRUNOL4;BRUNOL4;BRUNOL4,Body;Body;Body;Body,NM_001025088;NM_020180;NM_001025089;NM_001025087
cg03140421,FALSE,TRUE,FALSE,2.47e-41,0,0,-0.032,0,S_Shore,HSF4;HSF4,Body;Body,NM_001040667;NM_001538
cg20418529,FALSE,TRUE,FALSE,2.78e-41,0,0,0.008,0,OpenSea,"","",""
cg11480627,FALSE,TRUE,FALSE,3.06e-41,0,0,0.054,0,Island,SHANK2,Body,NM_012309
cg13206556,FALSE,TRUE,FALSE,3.11e-41,0,0,-0.045,0,N_Shore,"","",""
cg19570154,FALSE,TRUE,FALSE,3.61e-41,0,0,-0.055,0,OpenSea,"","",""
cg06809298,FALSE,TRUE,TRUE,3.9e-41,7.08e-112,0,-0.048,-0.023,OpenSea,COX7A2;COX7A2,TSS1500;TSS1500,NR_029466;NM_001865
cg10582827,FALSE,TRUE,FALSE,3.95e-41,0,0,-0.046,0,S_Shore,"","",""
cg01952185,FALSE,TRUE,FALSE,4.26e-41,0,0,-0.037,0,OpenSea,"","",""
cg15537254,FALSE,TRUE,FALSE,4.54e-41,0,0,-0.041,0,S_Shore,NCRNA00028,TSS200,NR_024358
cg07168556,FALSE,TRUE,FALSE,6.25e-41,0,0,-0.035,0,OpenSea,WFIKKN2,TSS200,NM_175575
cg16246545,FALSE,TRUE,FALSE,7.55e-41,0,0,0.027,0,S_Shore,PHGDH,Body,NM_006623
cg25106913,FALSE,TRUE,FALSE,9.23e-41,0,0,0.045,0,S_Shore,"","",""
cg07327178,FALSE,TRUE,FALSE,1.07e-40,0,0,-0.059,0,Island,"","",""
cg16844333,FALSE,TRUE,TRUE,1.1e-40,1.32e-179,0,-0.059,-0.035,OpenSea,"","",""
cg05901357,FALSE,TRUE,FALSE,1.1e-40,0,0,-0.028,0,Island,TRIM54;TRIM54,Body;Body,NM_032546;NM_187841
cg00219169,FALSE,TRUE,FALSE,1.28e-40,0,0,0.069,0,Island,DIP2C,Body,NM_014974
cg10749792,FALSE,TRUE,FALSE,1.31e-40,0,0,-0.005,0,Island,PSPH;PSPH;CCT6A;CCT6A,5'UTR;1stExon;TSS200;TSS200,NM_004577;NM_004577;NM_001009186;NM_001762
cg20785560,FALSE,TRUE,FALSE,1.53e-40,0,0,-0.041,0,N_Shore,GIPC2,TSS1500,NM_017655
cg27241845,FALSE,TRUE,FALSE,1.79e-40,0,0,-0.038,0,N_Shore,"","",""
cg26262055,FALSE,TRUE,FALSE,1.93e-40,0,0,0.042,0,S_Shore,"","",""
cg03071876,FALSE,TRUE,FALSE,1.93e-40,0,0,-0.03,0,S_Shore,SP6,5'UTR,NM_199262
cg25383593,FALSE,TRUE,FALSE,2.09e-40,0,0,-0.029,0,S_Shore,"","",""
cg07835270,FALSE,TRUE,FALSE,2.49e-40,0,0,-0.033,0,N_Shore,MT1DP;MT1DP,TSS1500;TSS1500,NR_003658;NR_027781
cg22345911,TRUE,TRUE,TRUE,2.66e-40,1.04e-99,-0.04,-0.013,-0.008,Island,CSNK1D;CSNK1D;CSNK1D;CSNK1D,5'UTR;1stExon;1stExon;5'UTR,NM_139062;NM_139062;NM_001893;NM_001893
cg09186101,FALSE,TRUE,FALSE,2.86e-40,0,0,0.044,0,S_Shore,SLC16A3;SLC16A3;SLC16A3,3'UTR;3'UTR;3'UTR,NM_001042423;NM_001042422;NM_004207
cg21787889,FALSE,TRUE,FALSE,3.12e-40,0,0,0.03,0,OpenSea,FAM90A1;FAM90A1,1stExon;5'UTR,NM_018088;NM_018088
cg07343821,FALSE,TRUE,FALSE,3.55e-40,0,0,0.029,0,OpenSea,"","",""
cg15531486,FALSE,TRUE,FALSE,4.31e-40,0,0,-0.009,0,N_Shore,C5orf51,TSS1500,NM_175921
cg19334350,FALSE,TRUE,FALSE,4.56e-40,0,0,0.058,0,S_Shore,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,NM_002847;NM_130842;NM_130843
cg15977137,FALSE,TRUE,FALSE,4.86e-40,0,0,0.052,0,N_Shore,WRB;WRB;WRB,Body;1stExon;5'UTR,NM_004627;NM_001146218;NM_001146218
cg02683731,FALSE,TRUE,FALSE,5.48e-40,0,0,0.068,0,Island,LOC440910,Body,NR_030728
cg13159946,FALSE,TRUE,FALSE,6.41e-40,0,0,-0.033,0,S_Shore,NCRNA00028,TSS200,NR_024358
cg25741116,FALSE,TRUE,FALSE,1.04e-39,0,0,-0.05,0,Island,"","",""
cg10513852,FALSE,TRUE,TRUE,1.23e-39,1.02e-199,0,-0.028,-0.018,N_Shore,MYF5,TSS1500,NM_005593
cg18364502,FALSE,TRUE,FALSE,1.39e-39,0,0,-0.032,0,N_Shore,RBM25,TSS1500,NM_021239
cg17378342,FALSE,TRUE,FALSE,1.45e-39,0,0,-0.04,0,Island,CDX1,TSS200,NM_001804
cg02344735,FALSE,TRUE,FALSE,1.56e-39,0,0,-0.037,0,N_Shore,B3GAT2,Body,NM_080742
cg11429111,FALSE,TRUE,FALSE,1.64e-39,0,0,-0.054,0,OpenSea,"","",""
cg06361845,FALSE,TRUE,FALSE,1.72e-39,0,0,0.055,0,N_Shore,"","",""
cg15178202,FALSE,TRUE,FALSE,1.72e-39,0,0,-0.032,0,Island,TMEM121,Body,NM_025268
cg06168204,FALSE,TRUE,TRUE,2.14e-39,1.95e-123,0,0.084,0.038,OpenSea,"","",""
cg18568930,FALSE,TRUE,FALSE,2.2e-39,0,0,-0.045,0,S_Shore,IGLON5,Body,NM_001101372
cg11841231,TRUE,TRUE,FALSE,2.86e-39,0,0.07,0.033,0,OpenSea,PARD3B;PARD3B;PARD3B,Body;Body;Body,NM_152526;NM_057177;NM_205863
cg06584433,FALSE,TRUE,FALSE,2.97e-39,0,0,0.016,0,OpenSea,CUZD1,TSS1500,NM_022034
cg24790788,FALSE,TRUE,FALSE,3.03e-39,0,0,-0.051,0,S_Shore,PLOD2;PLOD2,TSS1500;TSS1500,NM_000935;NM_182943
cg02207554,FALSE,TRUE,TRUE,3.11e-39,3.57e-121,0,-0.028,-0.018,S_Shore,SHISA6,Body,NM_207386
cg10338787,FALSE,TRUE,FALSE,3.25e-39,0,0,-0.026,0,Island,OTOP3,TSS200,NM_178233
cg03839161,FALSE,TRUE,FALSE,3.34e-39,0,0,0.025,0,Island,SSTR5;LOC146336,TSS200;Body,NM_001053;NR_027242
cg20371266,FALSE,TRUE,FALSE,4.35e-39,0,0,-0.05,0,S_Shore,CHRND,TSS200,NM_000751
cg08859352,FALSE,TRUE,FALSE,4.6e-39,0,0,-0.043,0,Island,TMEM121,3'UTR,NM_025268
cg14484793,FALSE,TRUE,FALSE,5.22e-39,0,0,0.054,0,N_Shore,OLFM1;OLFM1,Body;Body,NM_014279;NM_006334
cg17178468,FALSE,TRUE,FALSE,5.54e-39,0,0,-0.034,0,S_Shore,"","",""
cg09725915,TRUE,TRUE,FALSE,5.8e-39,0,-0.02,-0.005,0,Island,"","",""
cg07602847,FALSE,TRUE,FALSE,6.33e-39,0,0,0.026,0,N_Shelf,DKFZp761E198;DKFZp761E198,3'UTR;1stExon,NM_138368;NM_138368
cg22079902,FALSE,TRUE,TRUE,6.46e-39,1.23e-124,0,-0.048,-0.026,OpenSea,PRDM9,TSS200,NM_020227
cg26297808,TRUE,TRUE,FALSE,7.19e-39,0,0.05,0.031,0,S_Shelf,"","",""
cg13417559,FALSE,TRUE,FALSE,7.49e-39,0,0,-0.011,0,Island,C9orf64;C9orf64,5'UTR;1stExon,NM_032307;NM_032307
cg09681675,FALSE,TRUE,FALSE,7.9e-39,0,0,0.058,0,OpenSea,"","",""
cg05806645,FALSE,TRUE,FALSE,9.89e-39,0,0,-0.03,0,Island,PPP1R3B,TSS1500,NM_024607
cg10935723,FALSE,TRUE,TRUE,1.02e-38,2.89e-184,0,-0.031,-0.019,S_Shore,KCNK10,TSS1500,NM_021161
cg09846458,FALSE,TRUE,FALSE,1.37e-38,0,0,0.003,0,N_Shore,ISOC2;ISOC2;ISOC2,5'UTR;5'UTR;5'UTR,NM_001136202;NM_024710;NM_001136201
cg10003657,FALSE,TRUE,FALSE,1.38e-38,0,0,0.044,0,OpenSea,FRMD8,3'UTR,NM_031904
cg26116937,FALSE,TRUE,FALSE,1.38e-38,0,0,0.053,0,S_Shore,DIP2C,Body,NM_014974
cg05317207,FALSE,TRUE,TRUE,2.15e-38,3.87e-99,0,-0.04,-0.02,Island,ZNF497,Body,NM_198458
cg03371609,FALSE,TRUE,TRUE,2.62e-38,1.8e-223,0,-0.044,-0.029,Island,PXDNL,Body,NM_144651
cg10960055,FALSE,TRUE,TRUE,3.08e-38,1.66e-110,0,-0.042,-0.021,OpenSea,"","",""
cg27305460,FALSE,TRUE,FALSE,3.22e-38,0,0,-0.055,0,S_Shore,"","",""
cg25454270,FALSE,TRUE,FALSE,3.39e-38,0,0,-0.035,0,S_Shore,APOA5;APOA5,Body;Body,NM_001166598;NM_052968
cg09779044,FALSE,TRUE,FALSE,4.23e-38,0,0,0.019,0,N_Shelf,CKAP5;CKAP5,5'UTR;5'UTR,NM_014756;NM_001008938
cg22629528,FALSE,TRUE,FALSE,4.35e-38,0,0,0.051,0,Island,OPCML,Body,NM_001012393
cg21895453,FALSE,TRUE,FALSE,4.47e-38,0,0,0.011,0,S_Shore,ISOC2;ISOC2;ISOC2,TSS1500;TSS1500;TSS1500,NM_001136201;NM_024710;NM_001136202
cg17330048,TRUE,TRUE,TRUE,5.34e-38,2.84e-129,-0.07,-0.052,-0.026,S_Shore,RASGRF2,Body,NM_006909
cg13094926,FALSE,TRUE,FALSE,5.44e-38,0,0,-0.021,0,S_Shore,MAGOH,TSS1500,NM_002370
cg13707224,FALSE,TRUE,TRUE,5.7e-38,3.52e-143,0,-0.032,-0.016,N_Shore,"","",""
cg09044186,FALSE,TRUE,FALSE,7.42e-38,0,0,-0.027,0,Island,APOA5;APOA5,Body;Body,NM_001166598;NM_052968
cg24834394,FALSE,TRUE,FALSE,9.46e-38,0,0,0.077,0,OpenSea,"","",""
cg03192551,FALSE,TRUE,FALSE,1.07e-37,0,0,-0.006,0,Island,SLC25A39;SLC25A39,TSS1500;TSS1500,NM_016016;NM_001143780
cg02602007,FALSE,TRUE,FALSE,1.17e-37,0,0,0.015,0,Island,C6orf124,Body,NR_027906
cg03558769,FALSE,TRUE,TRUE,1.37e-37,1.35e-94,0,-0.022,-0.01,N_Shore,BOK,TSS1500,NM_032515
cg18479961,FALSE,TRUE,FALSE,1.4e-37,0,0,0.042,0,S_Shore,MIR671;CHPF2,TSS200;Body,NR_030407;NM_019015
cg19603903,FALSE,TRUE,TRUE,1.53e-37,2.92e-231,0,-0.058,-0.048,Island,AURKC;AURKC;AURKC,TSS200;TSS200;TSS200,NM_001015878;NM_003160;NM_001015879
cg23371413,FALSE,TRUE,TRUE,1.65e-37,5.31e-255,0,-0.048,-0.043,Island,AURKC;AURKC;AURKC;AURKC;AURKC,5'UTR;TSS200;1stExon;5'UTR;1stExon,NM_001015879;NM_001015878;NM_003160;NM_003160;NM_001015879
cg07816873,TRUE,TRUE,FALSE,1.79e-37,0,-0.06,-0.041,0,Island,ERC1;ERC1;ERC1;ERC1;ERC1;ERC1;ERC1,1stExon;5'UTR;Body;1stExon;Body;5'UTR;Body,NM_178039;NM_178040;NR_027948;NM_178040;NR_027949;NM_178039;NR_027946
cg03928961,FALSE,TRUE,FALSE,1.8e-37,0,0,-0.036,0,Island,PIGZ,5'UTR,NM_025163
cg23312375,FALSE,TRUE,FALSE,1.84e-37,0,0,0.045,0,Island,RASA3,Body,NM_007368
cg20050113,FALSE,TRUE,TRUE,2.64e-37,3.1e-203,0,-0.038,-0.024,S_Shore,SLC9A2,Body,NM_003048
cg23911852,FALSE,TRUE,FALSE,2.67e-37,0,0,0.038,0,Island,PLCH2,Body,NM_014638
cg15414745,FALSE,TRUE,TRUE,3.06e-37,8.33e-152,0,-0.06,-0.034,Island,DPPA5,TSS200,NM_001025290
cg19747604,FALSE,TRUE,TRUE,3.13e-37,1.22e-103,0,-0.031,-0.017,Island,CCDC8,1stExon,NM_032040
cg23444264,FALSE,TRUE,FALSE,3.44e-37,0,0,-0.035,0,S_Shore,"","",""
cg11729363,FALSE,TRUE,FALSE,3.48e-37,0,0,0.049,0,OpenSea,KLHL6,Body,NM_130446
cg19900050,FALSE,TRUE,FALSE,3.5e-37,0,0,0.034,0,S_Shore,CDC16;CDC16,Body;Body,NM_003903;NM_001078645
cg25970575,FALSE,TRUE,TRUE,3.91e-37,2.41e-106,0,0.066,0.04,S_Shore,"","",""
cg25453677,FALSE,TRUE,FALSE,4.19e-37,0,0,-0.025,0,N_Shore,"","",""
cg14316629,FALSE,TRUE,FALSE,4.32e-37,0,0,0.104,0,S_Shore,KIF25;KIF25,Body;Body,NM_005355;NM_030615
cg09766820,FALSE,TRUE,TRUE,4.39e-37,1.44e-219,0,-0.03,-0.024,S_Shore,LHX8,TSS1500,NM_001001933
cg14476101,FALSE,TRUE,FALSE,4.67e-37,0,0,0.043,0,S_Shore,PHGDH,Body,NM_006623
cg17899889,FALSE,TRUE,FALSE,4.86e-37,0,0,-0.056,0,N_Shore,"","",""
cg07309340,FALSE,TRUE,FALSE,5.63e-37,0,0,-0.044,0,N_Shore,GDNF;GDNF;GDNF,Body;Body;Body,NM_199231;NM_000514;NM_199234
cg22948959,TRUE,TRUE,TRUE,5.72e-37,2.84e-182,-0.08,-0.037,-0.025,OpenSea,"","",""
cg25601967,FALSE,TRUE,FALSE,5.83e-37,0,0,0.017,0,OpenSea,"","",""
cg22563390,FALSE,TRUE,TRUE,7.2e-37,6.85e-120,0,0.01,0.007,Island,ISOC2;ISOC2;ISOC2,TSS1500;TSS1500;TSS1500,NM_001136201;NM_024710;NM_001136202
cg22462010,FALSE,TRUE,FALSE,8.36e-37,0,0,-0.006,0,Island,"","",""
cg01810111,FALSE,TRUE,FALSE,8.72e-37,0,0,0.021,0,OpenSea,"","",""
cg23414861,FALSE,TRUE,TRUE,9.43e-37,4.63e-168,0,-0.071,-0.036,Island,DPPA5,TSS200,NM_001025290
cg00506049,FALSE,TRUE,FALSE,9.92e-37,0,0,-0.035,0,N_Shore,SRRM3,Body,NM_001110199
cg18971529,FALSE,TRUE,FALSE,9.95e-37,0,0,-0.005,0,Island,RWDD2B,1stExon,NM_016940
cg22535729,FALSE,TRUE,TRUE,9.99e-37,1.32e-113,0,-0.023,-0.011,Island,RP1,Body,NM_006269
cg04378167,FALSE,TRUE,FALSE,1.02e-36,0,0,0.022,0,N_Shore,SLC17A7,TSS200,NM_020309
cg03405128,TRUE,TRUE,TRUE,1.03e-36,4.25e-189,-0.08,-0.041,-0.034,N_Shore,"","",""
cg07107628,FALSE,TRUE,TRUE,1.15e-36,2.38e-176,0,-0.024,-0.016,OpenSea,"","",""
cg10082647,FALSE,TRUE,TRUE,1.18e-36,6.92e-99,0,-0.059,-0.029,N_Shore,C12orf23,TSS1500,NM_152261
cg00700412,FALSE,TRUE,FALSE,1.21e-36,0,0,-0.089,0,N_Shore,"","",""
cg02506275,FALSE,TRUE,FALSE,1.38e-36,0,0,-0.032,0,S_Shore,"","",""
cg12217971,FALSE,TRUE,FALSE,1.49e-36,0,0,-0.045,0,OpenSea,"","",""
cg26151999,FALSE,TRUE,FALSE,1.6e-36,0,0,-0.048,0,OpenSea,"","",""
cg27362048,FALSE,TRUE,FALSE,1.67e-36,0,0,-0.022,0,Island,APOA5;APOA5,Body;Body,NM_001166598;NM_052968
cg25782983,FALSE,TRUE,FALSE,1.7e-36,0,0,-0.028,0,N_Shore,"","",""
cg25936138,FALSE,TRUE,FALSE,1.76e-36,0,0,0.038,0,OpenSea,"","",""
cg01342115,FALSE,TRUE,FALSE,1.83e-36,0,0,-0.068,0,Island,"","",""
cg18789547,FALSE,TRUE,TRUE,1.88e-36,1.55e-96,0,-0.035,-0.016,S_Shore,CCK,TSS1500,NM_000729
cg17758363,FALSE,TRUE,TRUE,1.89e-36,6.43e-159,0,-0.055,-0.031,N_Shore,"","",""
cg16449012,FALSE,TRUE,TRUE,2.07e-36,4.15e-141,0,-0.05,-0.021,N_Shore,FAM184B,Body,NM_015688
cg10726816,FALSE,TRUE,FALSE,2.07e-36,0,0,0.037,0,OpenSea,"","",""
cg25432232,FALSE,TRUE,TRUE,2.15e-36,9.79e-199,0,-0.051,-0.039,Island,AURKC;AURKC;AURKC;AURKC;AURKC,5'UTR;TSS200;1stExon;5'UTR;1stExon,NM_001015879;NM_001015878;NM_003160;NM_003160;NM_001015879
cg21586152,FALSE,TRUE,FALSE,2.28e-36,0,0,0.079,0,N_Shore,ELANE,Body,NM_001972
cg12673429,FALSE,TRUE,TRUE,2.3e-36,7.66e-137,0,-0.031,-0.024,S_Shore,FAM38B,TSS1500,NM_022068
cg04166385,FALSE,TRUE,FALSE,2.49e-36,0,0,-0.022,0,N_Shelf,"","",""
cg22735601,TRUE,TRUE,FALSE,2.62e-36,0,0.04,0.019,0,OpenSea,HSP90AB2P,TSS1500,NR_003132
cg22122321,FALSE,TRUE,TRUE,2.8e-36,7.83e-97,0,-0.043,-0.02,S_Shore,"","",""
cg00937681,TRUE,TRUE,TRUE,2.97e-36,1.89e-99,-0.06,-0.038,-0.023,Island,"","",""
cg25307665,FALSE,TRUE,FALSE,3.68e-36,0,0,0.061,0,Island,HOXA5,TSS1500,NM_019102
cg14871138,FALSE,TRUE,FALSE,3.72e-36,0,0,0.032,0,Island,NTSR1,1stExon,NM_002531
cg11565911,TRUE,TRUE,TRUE,3.91e-36,1.57e-171,-0.07,-0.029,-0.023,N_Shore,TBC1D15;TBC1D15;TBC1D15;TBC1D15,TSS1500;TSS1500;TSS1500;TSS1500,NR_027449;NM_001146214;NM_001146213;NM_022771
cg06686742,FALSE,TRUE,FALSE,4.01e-36,0,0,-0.058,0,N_Shore,LASS4,TSS1500,NM_024552
cg02625623,TRUE,TRUE,TRUE,5.5e-36,9.62e-95,0.04,0.022,0.009,S_Shelf,"","",""
cg02005600,FALSE,TRUE,FALSE,6.02e-36,0,0,0.07,0,Island,HOXA5,TSS1500,NM_019102
cg00058887,FALSE,TRUE,FALSE,6.31e-36,0,0,0.019,0,OpenSea,STOX2,Body,NM_020225
cg11840984,FALSE,TRUE,TRUE,6.85e-36,3.03e-103,0,-0.013,-0.009,Island,PRR23C,1stExon,NM_001134657
cg03669949,FALSE,TRUE,TRUE,7.29e-36,2.34e-150,0,-0.048,-0.027,Island,DDX43;DDX43,1stExon;5'UTR,NM_018665;NM_018665
cg09031776,FALSE,TRUE,FALSE,7.65e-36,0,0,-0.041,0,OpenSea,"","",""
cg16178091,FALSE,TRUE,FALSE,7.75e-36,0,0,-0.025,0,S_Shelf,"","",""
cg12611723,TRUE,TRUE,TRUE,7.8e-36,1.34e-126,-0.02,-0.01,-0.004,Island,NPDC1,TSS200,NM_015392
cg01993478,FALSE,TRUE,FALSE,8.44e-36,0,0,-0.029,0,N_Shore,"","",""
cg21814278,FALSE,TRUE,FALSE,8.61e-36,0,0,-0.004,0,Island,"","",""
cg24117274,FALSE,TRUE,FALSE,8.62e-36,0,0,-0.043,0,N_Shelf,RAP1GAP;RAP1GAP;RAP1GAP,Body;Body;Body,NM_001145658;NM_001145657;NM_002885
cg25472530,FALSE,TRUE,TRUE,9.15e-36,1.61e-109,0,-0.069,-0.033,OpenSea,PRDM9,TSS200,NM_020227
cg14686645,TRUE,TRUE,FALSE,9.16e-36,0,-0.09,-0.056,0,OpenSea,ITGA2B,Body,NM_000419
cg05868531,TRUE,TRUE,FALSE,9.84e-36,0,-0.07,-0.043,0,Island,"","",""
cg15175162,TRUE,TRUE,TRUE,1.02e-35,5.21e-101,-0.08,-0.041,-0.026,Island,FBXL5;FBXL5,TSS1500;TSS1500,NM_033535;NM_012161
cg02050426,FALSE,TRUE,TRUE,1.05e-35,8.45e-138,0,-0.054,-0.034,Island,CDH20,Body,NM_031891
cg21287017,FALSE,TRUE,TRUE,1.28e-35,6.21e-187,0,-0.038,-0.022,S_Shore,C20orf103,Body,NM_012261
cg18155407,FALSE,TRUE,FALSE,1.36e-35,0,0,0.019,0,Island,TDRD12,TSS200,NM_001110822
cg10690919,FALSE,TRUE,FALSE,1.84e-35,0,0,-0.023,0,OpenSea,WFIKKN2,TSS200,NM_175575
cg22617406,FALSE,TRUE,FALSE,1.86e-35,0,0,-0.019,0,S_Shelf,GEFT;GEFT,Body;Body,NM_182947;NM_001111270
cg04495354,FALSE,TRUE,FALSE,1.89e-35,0,0,-0.046,0,OpenSea,PLLP,Body,NM_015993
cg12866656,FALSE,TRUE,FALSE,1.92e-35,0,0,-0.047,0,N_Shore,KCNK10,Body,NM_021161
cg25274157,FALSE,TRUE,TRUE,1.99e-35,8.41e-189,0,-0.028,-0.024,Island,NDUFA13;TSSK6,TSS1500;TSS200,NM_015965;NM_032037
cg19937979,FALSE,TRUE,TRUE,2e-35,1.27e-197,0,-0.036,-0.029,Island,"","",""
cg20171297,FALSE,TRUE,FALSE,2.08e-35,0,0,-0.056,0,N_Shore,MYF6;MYF6,1stExon;5'UTR,NM_002469;NM_002469
cg02287371,FALSE,TRUE,FALSE,2.17e-35,0,0,0.044,0,Island,SLC6A18,3'UTR,NM_182632
cg06902698,FALSE,TRUE,FALSE,2.28e-35,0,0,0.046,0,OpenSea,SCNM1;LYSMD1;LYSMD1,TSS1500;Body;1stExon,NM_024041;NM_001136543;NM_212551
cg06299997,FALSE,TRUE,FALSE,2.29e-35,0,0,-0.038,0,OpenSea,COL1A2,TSS1500,NM_000089
cg19384825,FALSE,TRUE,FALSE,2.44e-35,0,0,0.012,0,Island,ISOC2;ISOC2;ISOC2,TSS200;TSS200;TSS200,NM_001136202;NM_024710;NM_001136201
cg04766371,FALSE,TRUE,FALSE,2.45e-35,0,0,-0.006,0,Island,"","",""
cg26824780,FALSE,TRUE,FALSE,2.92e-35,0,0,0.029,0,N_Shore,CBFA2T3;CBFA2T3,5'UTR;Body,NM_175931;NM_005187
cg05531482,FALSE,TRUE,FALSE,2.97e-35,0,0,0.065,0,OpenSea,"","",""
cg13885623,FALSE,TRUE,FALSE,3.01e-35,0,0,0.022,0,N_Shore,NPPB,TSS200,NM_002521
cg04027059,FALSE,TRUE,FALSE,3.02e-35,0,0,0.043,0,OpenSea,"","",""
cg16743289,FALSE,TRUE,TRUE,3.39e-35,1.36e-157,0,-0.042,-0.024,N_Shore,CACYBP;CACYBP,TSS1500;TSS1500,NM_014412;NM_001007214
cg14918338,FALSE,TRUE,TRUE,3.51e-35,1.45e-120,0,-0.038,-0.022,N_Shore,DUOX1;DUOX1,Body;Body,NM_175940;NM_017434
cg19341652,FALSE,TRUE,FALSE,3.59e-35,0,0,0.056,0,N_Shore,DSE;TSPYL1,TSS1500;1stExon,NM_001080976;NM_003309
cg12427941,FALSE,TRUE,FALSE,3.87e-35,0,0,0.022,0,OpenSea,TJAP1;TJAP1;TJAP1;TJAP1;TJAP1;TJAP1;TJAP1,5'UTR;5'UTR;5'UTR;5'UTR;Body;TSS200;5'UTR,NM_001146019;NM_080604;NM_001146020;NM_001146016;NR_027394;NM_001146017;NM_001146018
cg18779296,FALSE,TRUE,TRUE,4.1e-35,1.42e-151,0,-0.062,-0.025,N_Shelf,"","",""
cg09549073,FALSE,TRUE,FALSE,4.23e-35,0,0,0.061,0,Island,HOXA5;HOXA5,5'UTR;1stExon,NM_019102;NM_019102
cg02197293,FALSE,TRUE,FALSE,4.31e-35,0,0,-0.048,0,Island,FBXO27;FBXO27,5'UTR;1stExon,NM_178820;NM_178820
cg12780322,TRUE,TRUE,FALSE,4.42e-35,0,-0.02,-0.013,0,Island,SRP72,Body,NM_006947
cg14030268,FALSE,TRUE,FALSE,4.69e-35,0,0,-0.004,0,Island,PDZD8,TSS1500,NM_173791
cg13822256,FALSE,TRUE,TRUE,4.9e-35,8.35e-95,0,-0.051,-0.02,N_Shore,NEFL,Body,NM_006158
cg10238051,FALSE,TRUE,FALSE,4.93e-35,0,0,-0.032,0,S_Shore,"","",""
cg20810195,FALSE,TRUE,FALSE,5.41e-35,0,0,0.057,0,OpenSea,"","",""
cg03607728,FALSE,TRUE,FALSE,5.59e-35,0,0,-0.015,0,Island,RWDD2B;RWDD2B,1stExon;5'UTR,NM_016940;NM_016940
cg17932394,FALSE,TRUE,FALSE,5.61e-35,0,0,-0.009,0,Island,TMEM143;SYNGR4,Body;TSS1500,NM_018273;NM_012451
cg16361867,FALSE,TRUE,FALSE,5.81e-35,0,0,-0.035,0,OpenSea,GRIK4,Body,NM_014619
cg03122264,FALSE,TRUE,TRUE,5.98e-35,2.17e-160,0,-0.034,-0.023,Island,C6orf174,Body,NM_001012279
cg11174255,FALSE,TRUE,FALSE,7.44e-35,0,0,0.066,0,N_Shore,"","",""
cg05330056,FALSE,TRUE,FALSE,7.75e-35,0,0,-0.031,0,N_Shore,GDNF;GDNF;GDNF,Body;Body;Body,NM_199231;NM_000514;NM_199234
cg16783571,FALSE,TRUE,TRUE,7.81e-35,2.18e-137,0,-0.028,-0.018,S_Shore,DPPA5,TSS1500,NM_001025290
cg25485913,FALSE,TRUE,TRUE,8.54e-35,2.85e-100,0,-0.018,-0.012,OpenSea,"","",""
cg24068229,FALSE,TRUE,FALSE,8.58e-35,0,0,-0.037,0,S_Shore,FBXO27,TSS200,NM_178820
cg26201213,FALSE,TRUE,FALSE,1.1e-34,0,0,-0.02,0,S_Shore,MGMT,Body,NM_002412
cg22794378,TRUE,TRUE,FALSE,1.18e-34,0,-0.02,-0.004,0,Island,ZC3H14;ZC3H14;ZC3H14;ZC3H14;ZC3H14,TSS200;Body;Body;Body;Body,NM_207661;NM_001160104;NM_001160103;NM_207660;NM_024824
cg27535677,FALSE,TRUE,FALSE,1.28e-34,0,0,-0.079,0,N_Shore,"","",""
cg17375267,FALSE,TRUE,TRUE,1.33e-34,7.1e-94,0,-0.042,-0.025,Island,CCDC8,1stExon,NM_032040
cg01006802,FALSE,TRUE,TRUE,1.35e-34,6.06e-94,0,0.007,0.004,Island,TMPRSS8,TSS200,NR_026864
cg23936031,FALSE,TRUE,FALSE,1.37e-34,0,0,0.054,0,Island,HOXA5,1stExon,NM_019102
