cgid,is.haftorn.2021.dmp,is.merid.2020.dmp,is.cord.blood.dmp,cord.blood.ttests.padjusted,cord.blood.ttest.pnominal,cord.blood.ttest.tvalue,cord.blood.ttest.std.err,cord.blood.ttest.estimate,relation.to.island,ucsc.gene.names,ucsc.gene.groups,ucsc.gene.acc
cg15171342,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,TMED3,Body,NM_007364
cg20318272,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PODXL;PODXL,3'UTR;3'UTR,NM_005397;NM_001018111
cg21653105,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TG;SLA;SLA,Body;Body;5'UTR,NM_003235;NM_001045557;NM_001045556
cg20559943,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg22533683,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,MIR193A,Body,NR_029710
cg11186858,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg14012059,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LRSAM1;LRSAM1;LRSAM1,Body;Body;Body,NM_001005373;NM_001005374;NM_138361
cg14620184,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ALK,Body,NM_004304
cg19548859,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CUGBP2;CUGBP2;CUGBP2;CUGBP2,Body;Body;Body;Body,NM_001025076;NM_006561;NM_001025077;NM_001083591
cg10257870,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CMYA5,TSS200,NM_153610
cg17164905,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,AHDC1,TSS1500,NM_001029882
cg18949794,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg12978040,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,SAPS1,5'UTR,NM_014931
cg19226017,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,FKBP5;LOC285847,TSS1500;Body,NM_001145775;NR_027117
cg03867607,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,MYL6;MYL6,3'UTR;Body,NM_021019;NM_079423
cg09550083,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,MEIS1,Body,NM_002398
cg07529210,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,KDM2B;KDM2B,TSS200;TSS1500,NM_032590;NM_001005366
cg18210365,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,RBPMS2,Body,NM_194272
cg01963696,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,ELANE,TSS1500,NM_001972
cg18444673,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,NFKBID,5'UTR,NM_139239
cg24710503,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg14237567,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg19404444,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,SKI,Body,NM_003036
cg14707834,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,SIGIRR;SIGIRR;SIGIRR,5'UTR;5'UTR;TSS1500,NM_001135053;NM_021805;NM_001135054
cg25843003,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,HCP5,3'UTR,NM_006674
cg26610808,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,BLOC1S2;BLOC1S2,TSS1500;TSS1500,NM_173809;NM_001001342
cg12856447,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg25839744,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,FAM65C,TSS1500,NM_080829
cg15686385,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg06340364,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,ZNF853,Body,NM_017560
cg05584950,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ATOH8,Body,NM_032827
cg17214107,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,FGF2,TSS1500,NM_002006
cg02544453,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,MYLK3,TSS1500,NM_182493
cg01765653,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,GABBR1;GABBR1,Body;Body,NM_021904;NM_001470
cg14246703,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg01090821,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg21607172,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,FAIM3;FAIM3;FAIM3,Body;Body;Body,NM_001142473;NM_001142472;NM_005449
cg19520763,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg10350350,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg03699958,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,GTF2IRD1;GTF2IRD1,5'UTR;5'UTR,NM_016328;NM_005685
cg25391820,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,MATR3;SNHG4,TSS1500;TSS1500,NM_199189;NR_003141
cg04523589,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CAMP,1stExon,NM_004345
cg13994241,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,LOC404266;LOC404266,TSS200;TSS200,NR_033201;NR_033202
cg13213009,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LY96,1stExon,NM_015364
cg19349999,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,RNASEH2B;RNASEH2B,Body;Body,NM_024570;NM_001142279
cg12419863,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PLAGL1;PLAGL1;PLAGL1;PLAGL1;PLAGL1;PLAGL1;PLAGL1;PLAGL1,Body;Body;Body;Body;Body;Body;Body;Body,NM_001080952;NM_001080956;NM_001080951;NM_002656;NM_006718;NM_001080954;NM_001080953;NM_001080955
cg23378546,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg08122070,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,NADK,Body,NM_023018
cg25783352,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,CALCA;CALCA;CALCA,5'UTR;5'UTR;5'UTR,NM_001033953;NM_001033952;NM_001741
cg08541457,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg15554005,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg06329093,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,ZDHHC1,5'UTR,NM_013304
cg04494051,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,LOC100130987;CLCF1;CLCF1,Body;TSS1500;TSS1500,NR_024469;NM_013246;NM_001166212
cg17641443,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CPSF4L,TSS200,NM_001129885
cg09079018,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg22552457,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ILF3;ILF3;ILF3;ILF3;ILF3,Body;Body;Body;Body;Body,NM_001137673;NM_153464;NM_017620;NM_004516;NM_012218
cg10422233,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,C14orf73,TSS1500,NM_001077594
cg20865778,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TCIRG1;TCIRG1,Body;Body,NM_006053;NM_006019
cg26024874,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,WDR7;WDR7,Body;Body,NM_052834;NM_015285
cg26607031,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,SLC25A33,Body,NM_032315
cg22608646,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,DNAH17,Body,NM_173628
cg12894984,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PNMT,TSS1500,NM_002686
cg27058497,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,RUNX3,TSS200,NM_001031680
cg09255514,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ABCC1;ABCC1;ABCC1;ABCC1;ABCC1,Body;Body;Body;Body;Body,NM_019862;NM_019898;NM_019899;NM_004996;NM_019900
cg04982488,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,AFAP1L2;AFAP1L2,Body;Body,NM_032550;NM_001001936
cg01766850,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg12155036,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg07623567,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,HLA-DMB,TSS1500,NM_002118
cg22185977,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LPCAT1,Body,NM_024830
cg05455036,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg13357602,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,KIAA1949;KIAA1949,TSS1500;TSS200,NM_001134870;NM_133471
cg15302379,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,KAZALD1;KAZALD1,1stExon;5'UTR,NM_030929;NM_030929
cg01556246,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PRAGMIN,Body,NM_001080826
cg00125744,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,MAGI1;MAGI1;MAGI1,Body;Body;Body,NM_015520;NM_001033057;NM_004742
cg15299233,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,SCAMP2,Body,NM_005697
cg10976975,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,BMP10;BMP10,5'UTR;1stExon,NM_014482;NM_014482
cg20547777,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,EXT1,Body,NM_000127
cg01111041,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PPT2;PRRT1;PPT2,TSS1500;TSS1500;TSS1500,NM_005155;NM_030651;NM_138717
cg26179134,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,DTNB;DTNB;DTNB;DTNB;DTNB,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,NM_033147;NM_033148;NM_021907;NM_183360;NM_183361
cg16834726,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,DCTN2,Body,NM_006400
cg25580581,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg13668129,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,HNRNPUL1,TSS1500,NM_144732
cg04885396,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ABCC1;ABCC1;ABCC1;ABCC1;ABCC1,Body;Body;Body;Body;Body,NM_019862;NM_019898;NM_019899;NM_004996;NM_019900
cg20299572,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,HCCA2,Body,NM_053005
cg03411579,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg10057879,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,RHBDL3,TSS1500,NM_138328
cg04566512,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg21355487,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,ARHGAP22,Body,NM_021226
cg17091577,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,DDR1;DDR1,5'UTR;5'UTR,NM_013993;NM_001954
cg14623715,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PDE7B,Body,NM_018945
cg07904073,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,"","",""
cg02215171,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,HERC5,Body,NM_016323
cg11879577,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,ARL6IP1,TSS1500,NM_015161
cg08404225,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,IL5RA;IL5RA;IL5RA;IL5RA;IL5RA;IL5RA;IL5RA;IL5RA;IL5RA;IL5RA;IL5RA;IL5RA,5'UTR;5'UTR;1stExon;5'UTR;1stExon;1stExon;1stExon;1stExon;5'UTR;1stExon;5'UTR;5'UTR,NM_175727;NM_000564;NM_175724;NM_175726;NM_175725;NM_000564;NM_175728;NM_175727;NM_175725;NM_175726;NM_175728;NM_175724
cg06991392,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg16976870,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg12751042,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,CDKN1B,3'UTR,NM_004064
cg09682727,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg19143990,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,LYSMD2;LYSMD2,Body;5'UTR,NM_153374;NM_001143917
cg15132169,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ZC3H12D;ZC3H12D,5'UTR;1stExon,NM_207360;NM_207360
cg26562638,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,LEFTY2,TSS1500,NM_003240
cg15657704,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,AFAP1L2;AFAP1L2,TSS1500;TSS1500,NM_032550;NM_001001936
cg22284058,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,SLC45A4,Body,NM_001080431
cg18632189,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg04246167,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,C3orf67,5'UTR,NM_198463
cg14502319,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg12586150,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,SERPINB1,Body,NM_030666
cg24686189,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg25001305,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PTK2B;PTK2B;PTK2B;PTK2B,Body;Body;Body;Body,NM_173176;NM_173175;NM_173174;NM_004103
cg01231381,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,SESTD1,TSS1500,NM_178123
cg19604369,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ABCC2,Body,NM_000392
cg20240091,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,TNN,5'UTR,NM_022093
cg11570656,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,TSC22D1,1stExon,NM_183422
cg16139785,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,RCOR1,Body,NM_015156
cg12983285,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,PTK6,TSS200,NM_005975
cg07082267,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg23053961,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,GLIS3,TSS1500,NM_001042413
cg25392060,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,"","",""
cg04980428,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,MAN1C1,Body,NM_020379
cg10505902,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PDE4DIP;PDE4DIP;PDE4DIP,3'UTR;3'UTR;Body,NM_001002812;NM_001002811;NM_014644
cg16380888,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,C1orf89,TSS1500,NM_030907
cg03958308,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1;PLEC1,Body;Body;Body;Body;TSS1500;Body;Body;Body,NM_201378;NM_201382;NM_201381;NM_000445;NM_201384;NM_201380;NM_201383;NM_201379
cg10317175,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg14154456,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,IBTK,Body,NM_015525
cg05500734,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg24319143,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,DUSP22,Body,NM_020185
cg05413199,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,ZDHHC1,Body,NM_013304
cg11186344,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,IFFO2,Body,NM_001136265
cg21942490,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,HOXA9,TSS1500,NM_152739
cg04533078,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ANKRD11,Body,NM_013275
cg22982570,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PCBP4;PCBP4;PCBP4,TSS200;5'UTR;TSS1500,NM_033010;NM_033008;NM_020418
cg01824466,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,TP53INP1;TP53INP1,5'UTR;5'UTR,NM_001135733;NM_033285
cg11744861,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ABCC4;ABCC4,Body;Body,NM_001105515;NM_005845
cg23771661,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,B3GNT3,TSS1500,NM_014256
cg17411016,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg22595391,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,C17orf62;C17orf62;C17orf62,Body;Body;Body,NM_001100407;NM_001033046;NM_001100408
cg14986464,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,BAT5,Body,NM_021160
cg06207201,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,SNX20;SNX20,3'UTR;3'UTR,NM_153337;NM_001144972
cg06094523,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,SLC2A1,Body,NM_006516
cg17696044,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,SHANK2;SHANK2,Body;Body,NM_012309;NM_133266
cg16129132,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,OSBPL5;OSBPL5;OSBPL5,5'UTR;5'UTR;5'UTR,NM_020896;NM_001144063;NM_145638
cg10447977,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ADAMTS9,Body,NM_182920
cg01558110,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PANX2;PANX2;PANX2,TSS1500;TSS1500;TSS1500,NM_001160300;NM_052839;NR_027691
cg16661761,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LOXL2,Body,NM_002318
cg18680834,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,ZNF536;ZNF536,1stExon;5'UTR,NM_014717;NM_014717
cg24956866,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CALD1;CALD1;CALD1,TSS200;TSS200;TSS200,NM_004342;NM_033157;NM_033138
cg14419435,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg02991558,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg11778714,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,DLG5,Body,NM_004747
cg26261298,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PLAGL1;PLAGL1;PLAGL1;PLAGL1;PLAGL1;PLAGL1;PLAGL1;PLAGL1,Body;Body;Body;Body;Body;Body;Body;Body,NM_001080952;NM_001080956;NM_001080951;NM_002656;NM_006718;NM_001080954;NM_001080953;NM_001080955
cg04052934,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg03570994,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PPT2;PPT2;PRRT1,TSS200;TSS1500;TSS1500,NM_138717;NM_005155;NM_030651
cg13735863,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,LOC100127888;SLCO4A1,TSS200;Body,NR_024470;NM_016354
cg05201185,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,HLA-E,Body,NM_005516
cg13565215,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,DSCAML1,TSS1500,NM_020693
cg04920452,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,LOC283999,Body,NM_001145529
cg00563932,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PTGDS,TSS1500,NM_000954
cg26537335,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,CHST11,Body,NM_018413
cg18750087,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg03597243,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,C6orf47;C6orf47,5'UTR;1stExon,NM_021184;NM_021184
cg16122424,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg00083262,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg22382854,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg00241281,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,PACS2;PACS2,TSS1500;TSS1500,NM_015197;NM_001100913
cg13455434,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,RBPMS;RBPMS;RBPMS;RBPMS,Body;Body;Body;Body,NM_001008712;NM_001008710;NM_001008711;NM_006867
cg24039042,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg05614072,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg13790576,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,LCN6,Body,NM_198946
cg08250742,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg05169499,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg05021771,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,VAX2,Body,NM_012476
cg04314978,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg13758331,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,BCL2L11;BCL2L11,Body;Body,NM_006538;NM_138621
cg05768620,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,NUMA1,5'UTR,NM_006185
cg04926767,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,GNG3;BSCL2;BSCL2,Body;TSS1500;5'UTR,NM_012202;NM_001122955;NM_001130702
cg09093656,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TRPV2,Body,NM_016113
cg21589375,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,MYOT;MYOT,TSS200;TSS200,NM_006790;NM_001135940
cg00699986,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,VSX1,Body,NM_014588
cg02493846,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,LOC100132111,TSS1500,NR_024237
cg02257791,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg03698343,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,ABCA2;C9orf139;ABCA2,Body;TSS200;Body,NM_001606;NM_207511;NM_212533
cg23050300,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PRDM16;PRDM16,Body;Body,NM_022114;NM_199454
cg14588779,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,AKAP8L,Body,NM_014371
cg00049664,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,CMTM2,TSS200,NM_144673
cg02240291,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,SMARCD3;SMARCD3;SMARCD3,Body;Body;Body,NM_001003802;NM_001003801;NM_003078
cg18067520,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,QRSL1,3'UTR,NM_018292
cg21210409,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg20251225,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,CDK11B;CDK11B;CDK11B;CDK11B;CDK11B;LOC728661;CDK11B,Body;Body;Body;Body;Body;5'UTR;5'UTR,NM_033493;NM_033489;NM_033486;NM_033488;NM_033492;NM_001110781;NM_033487
cg05298458,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,TBX1;TBX1;TBX1,Body;Body;Body,NM_080647;NM_005992;NM_080646
cg03411376,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,TRPM5,Body,NM_014555
cg22685502,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,RYBP,TSS1500,NM_012234
cg22626522,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,TEF;TEF,1stExon;5'UTR,NM_001145398;NM_001145398
cg15260428,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,ULK1,Body,NM_003565
cg21048168,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,ATP6V0A4;ATP6V0A4;ATP6V0A4,5'UTR;5'UTR;TSS200,NM_130840;NM_020632;NM_130841
cg24577220,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,C21orf70,Body,NM_058190
cg03663120,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,NUDT1;NUDT1;NUDT1;NUDT1;NUDT1;NUDT1;NUDT1,Body;Body;Body;Body;Body;Body;Body,NM_198948;NM_002452;NM_198952;NM_198950;NM_198954;NM_198953;NM_198949
cg24746726,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,SULT1E1,TSS1500,NM_005420
cg25839236,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shelf,"","",""
cg02402882,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,"","",""
cg17642941,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg22729726,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,OpenSea,PRDM16;PRDM16,Body;Body,NM_022114;NM_199454
cg11204139,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,"","",""
cg13435834,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shelf,C7orf50;C7orf50;C7orf50,Body;Body;Body,NM_001134395;NM_032350;NM_001134396
cg23210521,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,S_Shore,BMPR1B,5'UTR,NM_001203
cg25512537,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,N_Shore,"","",""
cg08307171,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,Island,CSNK1G2,5'UTR,NM_001319
